#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       2.263645391584e+02       6.908343480551e-04      -2.473945379463e+00       4.175172243918e-03       1.965568064673e-03       4.591839209008e-03       1.213795555914e-05       9.184213662406e-04      -1.856020096633e+00       4.191762003361e-03       5.497644162149e-01       5.775599463759e-01      -2.340981288584e+00       2.488738115584e-03       1.133119096206e-01      -1.964402411513e+00       5.836682391208e-03 
       2.265045797945e+02       6.913870520739e-04      -2.475030407459e+00       4.175840029793e-03       1.972166092345e-03       4.604754887844e-03       1.221068788265e-05       9.210049810045e-04      -1.856836196710e+00       4.192513310242e-03       5.497167245588e-01       5.774836028976e-01      -2.341751167123e+00       2.486652325654e-03       1.133683801997e-01      -1.965449026804e+00       5.839711985542e-03 
       2.266451311357e+02       6.919419275226e-04      -2.476119453598e+00       4.176507944918e-03       1.978844239613e-03       4.617814021564e-03       1.228449525736e-05       9.236172953133e-04      -1.857655330700e+00       4.193265790560e-03       5.496688422583e-01       5.774069969902e-01      -2.342523397366e+00       2.484554754029e-03       1.134249289382e-01      -1.966499837521e+00       5.842751958875e-03 
       2.267861998164e+02       6.924990023060e-04      -2.477212570567e+00       4.177175999563e-03       1.985603793296e-03       4.631018880174e-03       1.235939902611e-05       9.262587633706e-04      -1.858477538465e+00       4.194019471747e-03       5.496207665852e-01       5.773301249524e-01      -2.343298011009e+00       2.482445264358e-03       1.134815569316e-01      -1.967554898118e+00       5.845802452694e-03 
       2.269277925885e+02       6.930583048286e-04      -2.478309811506e+00       4.177844201644e-03       1.992446072158e-03       4.644371771817e-03       1.243542109632e-05       9.289298470135e-04      -1.859302860212e+00       4.194774379791e-03       5.495724948735e-01       5.772529831391e-01      -2.344075039808e+00       2.480323715473e-03       1.135382652896e-01      -1.968614263659e+00       5.848863608704e-03 
       2.270699163108e+02       6.936198639529e-04      -2.479411228635e+00       4.178512550693e-03       1.999372427125e-03       4.657875043253e-03       1.251258395115e-05       9.316310158083e-04      -1.860131335470e+00       4.195530533094e-03       5.495240248185e-01       5.771755682870e-01      -2.344854514230e+00       2.478189955538e-03       1.135950551306e-01      -1.969677988790e+00       5.851935562587e-03 
       2.272125779528e+02       6.941837090179e-04      -2.480516875081e+00       4.179181046345e-03       2.006384230193e-03       4.671531082117e-03       1.259091057012e-05       9.343627475023e-04      -1.860963004451e+00       4.196287950510e-03       5.494753540672e-01       5.770978770671e-01      -2.345636465262e+00       2.476043830289e-03       1.136519275827e-01      -1.970746129099e+00       5.855018452437e-03 
       2.273557846022e+02       6.947498698677e-04      -2.481626805246e+00       4.179849689920e-03       2.013482872209e-03       4.685342317924e-03       1.267042442140e-05       9.371255282248e-04      -1.861797908336e+00       4.197046652851e-03       5.494264801408e-01       5.770199059994e-01      -2.346420924768e+00       2.473885184449e-03       1.137088837852e-01      -1.971818741423e+00       5.858112420437e-03 
       2.274995434552e+02       6.953183768146e-04      -2.482741074760e+00       4.180518484435e-03       2.020669763272e-03       4.699311221236e-03       1.275114947332e-05       9.399198523214e-04      -1.862636089234e+00       4.197806662933e-03       5.493774004337e-01       5.769416514540e-01      -2.347207925450e+00       2.471713861926e-03       1.137659248846e-01      -1.972895883790e+00       5.861217612734e-03 
       2.276438618337e+02       6.958892607075e-04      -2.483859740626e+00       4.181187434752e-03       2.027946334572e-03       4.713440305369e-03       1.283311022171e-05       9.427462226938e-04      -1.863477590292e+00       4.198568005767e-03       5.493281122036e-01       5.768631096372e-01      -2.347997500960e+00       2.469529705624e-03       1.138230520399e-01      -1.973977615560e+00       5.864334179891e-03 
       2.277887471971e+02       6.964625529811e-04      -2.484982861335e+00       4.181856547547e-03       2.035314054218e-03       4.727732127048e-03       1.291633183314e-05       9.456051509335e-04      -1.864322455784e+00       4.199330709038e-03       5.492786125579e-01       5.767842765810e-01      -2.348789685979e+00       2.467332557322e-03       1.138802664271e-01      -1.975063997534e+00       5.867462277233e-03 
       2.279342071295e+02       6.970382856046e-04      -2.486110496783e+00       4.182525831266e-03       2.042774437344e-03       4.742189286455e-03       1.300084023711e-05       9.484971573311e-04      -1.865170731046e+00       4.200094803277e-03       5.492288984499e-01       5.767051481449e-01      -2.349584516157e+00       2.465122257952e-03       1.139375692324e-01      -1.976155091873e+00       5.870602064659e-03 
       2.280802493188e+02       6.976164910018e-04      -2.487242707985e+00       4.183195295615e-03       2.050329030239e-03       4.756814428455e-03       1.308666200192e-05       9.514227711215e-04      -1.866022462262e+00       4.200860320745e-03       5.491789667204e-01       5.766257200591e-01      -2.350382027881e+00       2.462898647290e-03       1.139949616437e-01      -1.977250961854e+00       5.873753705607e-03 
       2.282268815014e+02       6.981972018312e-04      -2.488379554804e+00       4.183864942690e-03       2.057979399483e-03       4.771610238136e-03       1.317382424824e-05       9.543825295911e-04      -1.866877694762e+00       4.201627286278e-03       5.491288145470e-01       5.765459884155e-01      -2.351182256114e+00       2.460661556111e-03       1.140524448276e-01      -1.978351670066e+00       5.876917357166e-03 
