#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       2.180852667734e+02       6.584336037512e-04      -2.409925022197e+00       4.131670037403e-03       1.660353291304e-03       3.974052875852e-03       8.976578616456e-06       7.948447609912e-04      -1.807884751958e+00       4.144408987820e-03       5.525559730623e-01       5.821007924490e-01      -2.294691718370e+00       2.604560013338e-03       1.097536368871e-01      -1.903201139259e+00       5.656387631516e-03 
       2.186704214957e+02       6.607058059809e-04      -2.414440468703e+00       4.135001612188e-03       1.677367953181e-03       4.009853456109e-03       9.142303820103e-06       8.020058155629e-04      -1.811278853496e+00       4.147955013374e-03       5.523603429202e-01       5.817781451096e-01      -2.298011404624e+00       2.596864280080e-03       1.100189464765e-01      -1.907482694363e+00       5.669206770595e-03 
       2.192617320237e+02       6.630046600895e-04      -2.419005010639e+00       4.138328872676e-03       1.695130011094e-03       4.047032984597e-03       9.316706337612e-06       8.094427181784e-04      -1.814709985254e+00       4.151506172271e-03       5.521624225442e-01       5.814523615143e-01      -2.301358852479e+00       2.589010951639e-03       1.102849640169e-01      -1.911816133808e+00       5.682148939319e-03 
       2.198595128026e+02       6.653314770596e-04      -2.423621092563e+00       4.141652262456e-03       1.713703126340e-03       4.085693283083e-03       9.500551549927e-06       8.171758390573e-04      -1.818179993404e+00       4.155063696042e-03       5.519620903515e-01       5.811232773011e-01      -2.304735547441e+00       2.580993628109e-03       1.105517503224e-01      -1.916203973479e+00       5.695220665367e-03 
       2.204641049746e+02       6.676876788821e-04      -2.428291356470e+00       4.144972216142e-03       1.733155732262e-03       4.125947472264e-03       9.694688459707e-06       8.252278089010e-04      -1.821690873465e+00       4.158628870303e-03       5.517592173392e-01       5.807907167403e-01      -2.308143092729e+00       2.572805324207e-03       1.108193718984e-01      -1.920648934446e+00       5.708428983397e-03 
       2.210758781267e+02       6.700748061894e-04      -2.433018675977e+00       4.148289250500e-03       1.753561278111e-03       4.167920113794e-03       9.900056260426e-06       8.336235473885e-04      -1.825244796064e+00       4.162203131656e-03       5.515536617260e-01       5.804544867059e-01      -2.311583236980e+00       2.564438518812e-03       1.110879009682e-01      -1.925153973159e+00       5.721781563825e-03 
       2.216952322684e+02       6.724945268738e-04      -2.437806149114e+00       4.151603854368e-03       1.774998962306e-03       4.211747497416e-03       1.011769511980e-05       8.423903207176e-04      -1.828844101690e+00       4.165787974117e-03       5.513452733741e-01       5.801143813734e-01      -2.315057859775e+00       2.555885001145e-03       1.113574155631e-01      -1.929722281158e+00       5.735286648136e-03 
       2.223226008578e+02       6.749486488986e-04      -2.442657149014e+00       4.154916615888e-03       1.797554349416e-03       4.257578352737e-03       1.034875752206e-05       8.515578840929e-04      -1.832491338898e+00       4.169385079668e-03       5.511338863671e-01       5.797701738555e-01      -2.318569012481e+00       2.547135928979e-03       1.116279999320e-01      -1.934357330093e+00       5.748953235584e-03 
       2.229584520377e+02       6.774391262311e-04      -2.447575299503e+00       4.158228066372e-03       1.821317984715e-03       4.305574127380e-03       1.059450561096e-05       8.611585374255e-04      -1.836189246172e+00       4.172996133671e-03       5.509193271167e-01       5.794216241986e-01      -2.322118887398e+00       2.538181626734e-03       1.118997441075e-01      -1.939062857856e+00       5.762790948237e-03 
       2.236032903256e+02       6.799680666378e-04      -2.452564531580e+00       4.161538857933e-03       1.846386982559e-03       4.355909125450e-03       1.085633182974e-05       8.712271532071e-04      -1.839940794478e+00       4.176623052711e-03       5.507014032944e-01       5.790684677471e-01      -2.325709866475e+00       2.529011732152e-03       1.121727435395e-01      -1.943842916309e+00       5.776810262481e-03 
       2.242576602737e+02       6.825377473327e-04      -2.457629057632e+00       4.164849512133e-03       1.872866023953e-03       4.408771400841e-03       1.113577640145e-05       8.818013553748e-04      -1.843749168195e+00       4.180267742860e-03       5.504799149630e-01       5.787104268567e-01      -2.329344483071e+00       2.519614861717e-03       1.124470994786e-01      -1.948701860783e+00       5.791022332498e-03 
       2.249221498381e+02       6.851506296495e-04      -2.462773463469e+00       4.168160720340e-03       1.900868151296e-03       4.464363840455e-03       1.143454541489e-05       8.929217361803e-04      -1.847617834435e+00       4.183932410063e-03       5.502546380673e-01       5.783471927326e-01      -2.333025501554e+00       2.509978831803e-03       1.127229190460e-01      -1.953644427875e+00       5.805439362358e-03 
       2.255973939454e+02       6.878093746771e-04      -2.468002659533e+00       4.171472980406e-03       1.930515760906e-03       4.522905416752e-03       1.175453257005e-05       9.046321069719e-04      -1.851550506772e+00       4.187619214307e-03       5.500253407960e-01       5.779784427976e-01      -2.336755854985e+00       2.500090212637e-03       1.130003152353e-01      -1.958675708355e+00       5.820074321626e-03 
       2.263596179268e+02       6.908149280508e-04      -2.473907244357e+00       4.175148161138e-03       1.965479227282e-03       4.591561259646e-03       1.213675682605e-05       9.183657685454e-04      -1.855991419612e+00       4.191736647017e-03       5.497660437529e-01       5.775626304980e-01      -2.340954221565e+00       2.488811319632e-03       1.133099228367e-01      -1.964365635682e+00       5.836575896666e-03 
       2.264996561137e+02       6.913676169559e-04      -2.474992250986e+00       4.175815995677e-03       1.972079896512e-03       4.604479249870e-03       1.220950830672e-05       9.209498456915e-04      -1.856807503447e+00       4.192488032306e-03       5.497183520001e-01       5.774862878296e-01      -2.341724102426e+00       2.486725711600e-03       1.133663968914e-01      -1.965412219328e+00       5.839605460818e-03 
       2.266402053263e+02       6.919224785322e-04      -2.476081278209e+00       4.176483960647e-03       1.978760821608e-03       4.617540868602e-03       1.228333622379e-05       9.235626571173e-04      -1.857626623041e+00       4.193240593727e-03       5.496704694621e-01       5.774096825633e-01      -2.342496336819e+00       2.484628317473e-03       1.134229492609e-01      -1.966463000716e+00       5.842645410839e-03 
       2.267812722124e+02       6.924795407376e-04      -2.477174378805e+00       4.177152066281e-03       1.985523294158e-03       4.630748392487e-03       1.235826197968e-05       9.262046583543e-04      -1.858448818328e+00       4.193994358772e-03       5.496223934079e-01       5.773328109937e-01      -2.343270956500e+00       2.482519000616e-03       1.134795810456e-01      -1.967518034388e+00       5.845695888439e-03 
       2.269228635389e+02       6.930388320359e-04      -2.478271606086e+00       4.177820320802e-03       1.992368637585e-03       4.644104136620e-03       1.243430754165e-05       9.288763126306e-04      -1.859274129643e+00       4.194749353818e-03       5.495741211516e-01       5.772556694532e-01      -2.344047993361e+00       2.480397619892e-03       1.135362933605e-01      -1.968577375569e+00       5.848757035912e-03 
       2.270649861794e+02       6.936003813498e-04      -2.479373012421e+00       4.178488723907e-03       1.999298208041e-03       4.657610454869e-03       1.251149545846e-05       9.315780909346e-04      -1.860102596626e+00       4.195505597520e-03       5.495256503757e-01       5.771782546632e-01      -2.344827477979e+00       2.478264023347e-03       1.135930873292e-01      -1.969641079037e+00       5.851828989398e-03 
       2.272076471189e+02       6.941642180807e-04      -2.480478651040e+00       4.179157275199e-03       2.006313383263e-03       4.671269742188e-03       1.258984878064e-05       9.343104724783e-04      -1.860934259569e+00       4.196263108799e-03       5.494769787232e-01       5.771005632896e-01      -2.345609441409e+00       2.476118056397e-03       1.136499640854e-01      -1.970709200492e+00       5.854911887262e-03 
       2.273508534612e+02       6.947303721368e-04      -2.481588576459e+00       4.179825975967e-03       2.013415560112e-03       4.685084435684e-03       1.266939105088e-05       9.370739449099e-04      -1.861769159739e+00       4.197021908533e-03       5.494281037115e-01       5.770225918472e-01      -2.346393915588e+00       2.473959563433e-03       1.137069247740e-01      -1.971781796883e+00       5.858005871963e-03 
       2.274946124196e+02       6.952988738988e-04      -2.482702844427e+00       4.180494829195e-03       2.020606155342e-03       4.699057013826e-03       1.275014631875e-05       9.398690041567e-04      -1.862607339334e+00       4.197782019613e-03       5.493790227307e-01       5.769443367002e-01      -2.347180933295e+00       2.471788388011e-03       1.137639705474e-01      -1.972858926356e+00       5.861111089949e-03 
       2.276389313324e+02       6.958697542824e-04      -2.483821512060e+00       4.181163839700e-03       2.027886607407e-03       4.713189998057e-03       1.283213916769e-05       9.426961547469e-04      -1.863448841588e+00       4.198543467126e-03       5.493297330342e-01       5.768657940497e-01      -2.347970528254e+00       2.469604372686e-03       1.138211025703e-01      -1.973940648389e+00       5.864227692067e-03 
       2.277838176764e+02       6.964430447920e-04      -2.484944637971e+00       4.181833014129e-03       2.035258391079e-03       4.727485953673e-03       1.291539484834e-05       9.455559099868e-04      -1.864293710865e+00       4.199306278813e-03       5.492802317250e-01       5.767869599219e-01      -2.348762735224e+00       2.467407358874e-03       1.138783220246e-01      -1.975027023904e+00       5.867355833946e-03 
       2.279292790538e+02       6.970187774701e-04      -2.486072282180e+00       4.182502360899e-03       2.042723027680e-03       4.741947489793e-03       1.299993937205e-05       9.484487919552e-04      -1.865141992596e+00       4.200070485248e-03       5.492305157524e-01       5.767078301704e-01      -2.349557589936e+00       2.465197187120e-03       1.139356301026e-01      -1.976118115192e+00       5.870495675798e-03 
       2.280753231855e+02       6.975969848716e-04      -2.487204505967e+00       4.183171889857e-03       2.050282070591e-03       4.756577261876e-03       1.308579940040e-05       9.513753320067e-04      -1.865993733164e+00       4.200836118918e-03       5.491805819427e-01       5.766284005058e-01      -2.350355128958e+00       2.462973696700e-03       1.139930280041e-01      -1.977213985782e+00       5.873647381796e-03 
       2.282219578328e+02       6.981776997560e-04      -2.488341369462e+00       4.183841603524e-03       2.057937093164e-03       4.771377965089e-03       1.317300214515e-05       9.543360694439e-04      -1.866848978102e+00       4.201603205165e-03       5.491304274461e-01       5.765486669879e-01      -2.351155387463e+00       2.460736718316e-03       1.140505169045e-01      -1.978314698513e+00       5.876811109919e-03 
       2.283691908839e+02       6.987609554288e-04      -2.489482932663e+00       4.184511499065e-03       2.065689695316e-03       4.786352342911e-03       1.326157545156e-05       9.573315532403e-04      -1.867707772850e+00       4.202371764340e-03       5.490800496253e-01       5.764686258913e-01      -2.351958400045e+00       2.458486074399e-03       1.141080979871e-01      -1.979420316441e+00       5.879987015427e-03 
       2.285170303837e+02       6.993467858618e-04      -2.490629257142e+00       4.185181575293e-03       2.073541508158e-03       4.801503190548e-03       1.335154785533e-05       9.603623427234e-04      -1.868570164041e+00       4.203141818941e-03       5.490294457037e-01       5.763882733219e-01      -2.352764202346e+00       2.456221585540e-03       1.141657724545e-01      -1.980530904172e+00       5.883175258437e-03 
       2.286654844967e+02       6.999352255481e-04      -2.491780405811e+00       4.185851832695e-03       2.081494200409e-03       4.816833351452e-03       1.344294864376e-05       9.634290068774e-04      -1.869436199324e+00       4.203913393885e-03       5.489786127611e-01       5.763076052218e-01      -2.353572830915e+00       2.453943071319e-03       1.142235415125e-01      -1.981646527628e+00       5.886376003402e-03 
       2.288145615073e+02       7.005263095020e-04      -2.492936442953e+00       4.186522273445e-03       2.089549487330e-03       4.832345718355e-03       1.353580794412e-05       9.665321245535e-04      -1.870305927386e+00       4.204686516749e-03       5.489275477257e-01       5.762266173645e-01      -2.354384323223e+00       2.451650350389e-03       1.142814063691e-01      -1.982767254070e+00       5.889589419211e-03 
       2.289642698494e+02       7.011200733799e-04      -2.494097434468e+00       4.187192901788e-03       2.097709120323e-03       4.848043239317e-03       1.363015665451e-05       9.696722856764e-04      -1.871179398139e+00       4.205461217687e-03       5.488762473636e-01       5.761453053328e-01      -2.355198717844e+00       2.449343240090e-03       1.143393682455e-01      -1.983893152341e+00       5.892815679944e-03 
       2.291146181077e+02       7.017165534859e-04      -2.495263447909e+00       4.187863724216e-03       2.105974878737e-03       4.863928919204e-03       1.372602638959e-05       9.728500915421e-04      -1.872056662747e+00       4.206237529369e-03       5.488247082752e-01       5.760636645132e-01      -2.356016054481e+00       2.447021556517e-03       1.143974283750e-01      -1.985024292894e+00       5.896054964997e-03 
       2.292656150237e+02       7.023157867968e-04      -2.496434552538e+00       4.188534749464e-03       2.114348575002e-03       4.880005820359e-03       1.382344954073e-05       9.760661549515e-04      -1.872937773668e+00       4.207015487183e-03       5.487729268904e-01       5.759816900901e-01      -2.356836374001e+00       2.444685114442e-03       1.144555880043e-01      -1.986160747848e+00       5.899307459257e-03 
       2.294172694990e+02       7.029178109758e-04      -2.497610818040e+00       4.189205982268e-03       2.122832058895e-03       4.896277063449e-03       1.392245932952e-05       9.793211003808e-04      -1.873822783688e+00       4.207795123144e-03       5.487208997692e-01       5.758993773719e-01      -2.357659717139e+00       2.442333721048e-03       1.145138483934e-01      -1.987302590033e+00       5.902573346975e-03 
       2.295695905983e+02       7.035226643879e-04      -2.498792313497e+00       4.189877418311e-03       2.131427224058e-03       4.912745828487e-03       1.402308988418e-05       9.826155641858e-04      -1.874711745156e+00       4.208576461049e-03       5.486686238432e-01       5.758167220518e-01      -2.358486123460e+00       2.439967170855e-03       1.145722108151e-01      -1.988449892230e+00       5.905852806852e-03 
