# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)n_ncdm[0]          13:(.)rho_ncdm[0]        14:(.)p_ncdm[0]          15:(.)n_ncdm[1]          16:(.)rho_ncdm[1]        17:(.)p_ncdm[1]          18:(.)rho_lambda         19:(.)rho_ur             20:(.)rho_crit           21:(.)rho_dcdm           22:(.)rho_dr             23:gr.fac. D             24:gr.fac. f          
       1.022440033629e+10       7.230363478586e-18       4.533171158982e-05       2.255463361969e+14       1.344872913828e+04       1.315356274659e-06       1.375051907375e+14       2.617227509704e-05       3.006979420607e+28       2.620149398004e+21       1.189247185006e+20       2.147433664498e+17       6.919201886938e+27       2.306400628979e+27       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.388213411547e+28       5.087114977186e+28       1.682431064246e+22       1.223853980044e+03       5.661602337625e-05       2.181990703855e-01 
       1.015332704691e+10       7.331942848587e-18       4.564903247228e-05       2.224215363344e+14       1.344872913796e+04       1.324563768556e-06       1.365493453164e+14       2.635548100209e-05       2.924237038703e+28       2.565887690869e+21       1.164618596074e+20       2.102961613903e+17       6.728807752188e+27       2.242935917396e+27       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.350014252791e+28       4.947133982537e+28       1.647588935872e+22       1.215346550892e+03       5.670219706547e-05       2.178674640687e-01 
       1.008274781217e+10       7.434949307018e-18       4.596857615979e-05       2.193400285724e+14       1.344872913764e+04       1.333835714911e-06       1.356001443024e+14       2.653996934819e-05       2.843771460463e+28       2.512749710825e+21       1.140500050302e+20       2.059410552541e+17       6.543652650369e+27       2.181217550123e+27       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.312866211765e+28       4.811004813414e+28       1.613468366875e+22       1.206898259834e+03       5.678837075618e-05       2.175368641727e-01 
       1.001265919773e+10       7.539402903044e-18       4.629035538528e-05       2.163012131265e+14       1.344872913732e+04       1.343172564890e-06       1.346575415080e+14       2.672574911242e-05       2.765520035589e+28       2.460712186164e+21       1.116880985006e+20       2.016761407283e+17       6.363592420181e+27       2.121197473394e+27       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.276740365097e+28       4.678621479999e+28       1.580054414196e+22       1.198508695779e+03       5.687454444839e-05       2.172072661229e-01 
       9.943057793121e+09       7.645323967496e-18       4.661438833864e-05       2.133044985220e+14       1.344872913700e+04       1.352574772818e-06       1.337214910666e+14       2.691282933470e-05       2.689421837716e+28       2.409752327122e+21       1.093751056247e+20       1.974995499992e+17       6.188486867177e+27       2.062828955726e+27       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.241608585293e+28       4.549880908971e+28       1.547332444240e+22       1.190177450495e+03       5.696071814212e-05       2.168786653727e-01 
       9.873940211585e+09       7.752733116836e-18       4.694068957178e-05       2.103493014787e+14       1.344872913667e+04       1.362042796201e-06       1.327919474307e+14       2.710121911823e-05       2.615417616977e+28       2.359847815897e+21       1.071100134303e+20       1.934094539346e+17       6.018199654611e+27       2.006066551537e+27       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.207443518835e+28       4.424682863257e+28       1.515288126464e+22       1.181904118586e+03       5.704689183736e-05       2.165510574028e-01 
       9.805303089901e+09       7.861651257166e-18       4.726927363663e-05       2.074350467974e+14       1.344872913634e+04       1.371577095747e-06       1.318688653693e+14       2.729092762994e-05       2.543449753870e+28       2.310976796874e+21       1.048918299235e+20       1.894040612822e+17       5.852598197283e+27       1.950866065761e+27       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.174218564890e+28       4.302929863982e+28       1.483907427100e+22       1.173688297476e+03       5.713306553415e-05       2.162244377213e-01 
       9.737143088229e+09       7.972099588297e-18       4.760015872307e-05       2.045611672478e+14       1.344872913601e+04       1.381178135390e-06       1.309521999656e+14       2.748196410092e-05       2.473462214397e+28       2.263117867056e+21       1.027195836536e+20       1.854816178858e+17       5.691553558313e+27       1.897184519438e+27       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.141907854590e+28       4.184527114579e+28       1.453176603015e+22       1.165529587385e+03       5.721923923249e-05       2.158988018633e-01 
       9.669456889944e+09       8.084099607875e-18       4.793335938302e-05       2.017271034584e+14       1.344872913568e+04       1.390846382311e-06       1.300419066154e+14       2.767433782689e-05       2.405400506435e+28       2.216250066689e+21       1.005923232883e+20       1.816404059165e+17       5.534940348746e+27       1.844980116249e+27       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.110486230897e+28       4.069382426973e+28       1.423082195684e+22       1.157427591315e+03       5.730541293240e-05       2.155741453906e-01 
       9.602241201479e+09       8.197673115569e-18       4.826889380638e-05       1.989323038073e+14       1.344872913534e+04       1.400582306959e-06       1.291379410244e+14       2.786805816861e-05       2.339211637306e+28       2.170352870081e+21       9.850911719686e+19       1.778787431206e+17       5.382636629928e+27       1.794212209976e+27       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.079929229013e+28       3.957406149810e+28       1.393611025303e+22       1.149381915025e+03       5.739158663388e-05       2.152504638919e-01 
