# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)n_ncdm[0]          13:(.)rho_ncdm[0]        14:(.)p_ncdm[0]          15:(.)n_ncdm[1]          16:(.)rho_ncdm[1]        17:(.)p_ncdm[1]          18:(.)rho_lambda         19:(.)rho_ur             20:(.)rho_crit           21:(.)rho_dcdm           22:(.)rho_dr             23:gr.fac. D             24:gr.fac. f          
       1.504373216672e+06       3.337299526369e-10       3.079196535382e-01       4.888380914474e+06       1.421786995666e+04       9.451019433256e-03       2.138899697880e+10       1.777577625928e-01       1.409297228453e+13       8.346034228666e+09       3.788141897543e+08       6.840279749446e+05       3.242859600312e+12       1.080953191306e+12       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       6.506214508775e+12       2.389626796499e+13       4.549672295406e+10       1.035133500940e-01       1.877735124873e-04       7.744031589867e-02 
       1.493915757843e+06       3.384167508527e-10       3.100738677258e-01       4.820693542794e+06       1.421786780245e+04       9.517175389996e-03       2.124031097087e+10       1.790012216508e-01       1.370517759718e+13       8.173192237891e+09       3.709691466000e+08       6.698621144059e+05       3.153626208172e+12       1.051208727381e+12       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       6.327183757112e+12       2.323908623354e+13       4.455450968800e+10       1.027931781984e-01       1.878749621488e-04       7.742170293326e-02 
       1.483530992373e+06       3.431693564159e-10       3.122431442443e-01       4.753943671760e+06       1.421786563317e+04       9.583794421873e-03       2.109265853006e+10       1.802533730601e-01       1.332805380108e+13       8.003929709449e+09       3.632865699641e+08       6.559896210285e+05       3.066848238589e+12       1.022282737640e+12       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       6.153079369178e+12       2.259998043427e+13       4.363180913918e+10       1.020780124747e-01       1.879764423370e-04       7.740327221912e-02 
       1.473218414945e+06       3.479886930621e-10       3.144275882896e-01       4.688118314740e+06       1.421786344873e+04       9.650879770179e-03       2.094603247170e+10       1.815142775009e-01       1.296130726706e+13       7.838172514711e+09       3.557630952574e+08       6.424044193456e+05       2.982458126098e+12       9.941527002617e+11       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       5.983765787022e+12       2.197845333300e+13       4.272821721035e+10       1.013678181234e-01       1.880779532819e-04       7.738502468425e-02 
       1.462977523756e+06       3.528756974878e-10       3.166273057905e-01       4.623204665009e+06       1.421786124901e+04       9.718434698895e-03       2.080042566104e+10       1.827839960756e-01       1.260465244566e+13       7.675848060211e+09       3.483954275695e+08       6.291005597096e+05       2.900390164424e+12       9.667967131538e+11       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       5.819111182816e+12       2.137402137456e+13       4.184333817285e+10       1.006625605868e-01       1.881794952152e-04       7.736696126361e-02 
       1.452807820491e+06       3.578313195323e-10       3.188424034142e-01       4.559190093261e+06       1.421785903391e+04       9.786462494845e-03       2.065583101296e+10       1.840625903121e-01       1.225781164487e+13       7.516885255853e+09       3.411803402257e+08       6.160722156868e+05       2.820580455316e+12       9.401934768996e+11       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       5.658987356216e+12       2.078621430649e+13       4.097678449335e+10       9.996220554766e-02       1.882810683704e-04       7.734908289914e-02 
       1.442708810297e+06       3.628565223616e-10       3.210729885704e-01       4.496062145145e+06       1.421785680333e+04       9.854966467855e-03       2.051224149156e+10       1.853501221666e-01       1.192051481384e+13       7.361214483771e+09       3.341146733738e+08       6.033136815055e+05       2.742966858801e+12       9.143222781751e+11       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       5.503269634543e+12       2.021457481301e+13       4.012817666410e+10       9.926671892700e-02       1.883826729827e-04       7.733139053985e-02 
       1.432680001765e+06       3.679522826553e-10       3.233191694162e-01       4.433808538849e+06       1.421785455714e+04       9.923949950920e-03       2.036965010987e+10       1.866466540265e-01       1.159249933272e+13       7.208767567850e+09       3.271953326003e+08       5.908193695572e+05       2.667488944803e+12       8.891629736211e+11       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       5.351836775715e+12       1.965865815917e+13       3.929714303675e+10       9.857606688292e-02       1.884843092890e-04       7.731388514181e-02 
       1.422720906896e+06       3.731195907964e-10       3.255810548635e-01       4.372417162701e+06       1.421785229526e+04       9.993416300361e-03       2.022804992948e+10       1.879522487135e-01       1.127350980806e+13       7.059477743859e+09       3.204192875753e+08       5.785838079495e+05       2.594087946087e+12       8.646959741597e+11       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       5.204570873847e+12       1.911803184468e+13       3.848331965956e+10       9.789021580870e-02       1.885859775282e-04       7.729656766824e-02 
       1.412831041090e+06       3.783594510631e-10       3.278587545828e-01       4.311876072818e+06       1.421785001756e+04       1.006336889599e-02       2.008743406022e+10       1.892669694865e-01       1.096329787407e+13       6.913279630216e+09       3.137835707251e+08       5.666016381098e+05       2.522706712506e+12       8.409022297419e+11       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       5.061357267450e+12       1.859227526734e+13       3.768635011801e+10       9.720913233125e-02       1.886876779407e-04       7.727943908954e-02 
