#scalar perturbations for mode k = 1.000000000000e+00 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       1.319452924722e+01       2.915561961970e-05      -4.895327992853e-01       1.507571931304e+00       1.021601810227e-03       2.554004525569e-03       9.747230793178e-07       5.108009051137e-04      -3.670995533289e-01       1.507572166159e+00       8.354672672211e-03       8.070176682261e-03       1.859654692199e-01      -2.486948397261e-03      -2.265390076535e-02      -1.261869890039e+01       5.216520999624e-01 
       1.369452924722e+01       3.028750920983e-05      -1.444663313131e+00       1.392035170428e+00       1.020414448261e-03       2.551036120653e-03       1.050651686767e-06       5.102072241307e-04      -1.083450056086e+00       1.392045710590e+00       1.281702121778e-02       1.251611184411e-02       1.917492255645e-01       3.923416459917e-02      -2.564307245439e-02      -1.286247770398e+01       5.073956252271e-01 
       1.419452924722e+01       3.142137419887e-05      -2.289364073170e+00       1.167771757864e+00       9.250270930439e-04       2.312567732610e-03       1.025084925355e-06       4.625135465220e-04      -1.716983790007e+00       1.167794039414e+00       1.626816083152e-02       1.606763078544e-02       1.656894647089e-01       8.072502851733e-02      -1.866585310733e-02      -1.310262512054e+01       4.962756615031e-01 
       1.469452924722e+01       3.255721458683e-05      -2.957101942911e+00       8.522318766343e-01       7.304050369144e-04       1.826012592286e-03       8.689870168351e-07       3.652025184572e-04      -2.217801386475e+00       8.522663499047e-01       1.859347039850e-02       1.857924505570e-02       1.105168635372e-01       1.126097957312e-01      -2.362557893294e-03      -1.334096720583e+01       4.875755653156e-01 
       1.519452924722e+01       3.369503037369e-05      -3.395166299495e+00       4.701208898838e-01       4.357612004307e-04       1.089403001077e-03       5.553097611186e-07       2.178806002153e-04      -2.546369801982e+00       4.701667631401e-01       1.978127973382e-02       1.998607489510e-02       3.506777625025e-02       1.272920983307e-01       1.974332209473e-02      -1.357873082845e+01       4.805900740711e-01 
       1.569452924722e+01       3.483482155946e-05      -3.568893900077e+00       5.145406579346e-02       6.052804002083e-05       1.513201000521e-04       8.244016189328e-08       3.026402001041e-05      -2.676690862006e+00       5.150914431415e-02       1.990277528195e-02       2.030190751440e-02      -4.758610083505e-02       1.208514263342e-01       4.233643211580e-02      -1.381656563685e+01       4.746653809657e-01 
       1.619452924722e+01       3.597658814414e-05      -3.464457320280e+00      -3.708212630984e-01      -3.668544080200e-04      -9.171360200500e-04      -5.329527839390e-07      -1.834272040100e-04      -2.598392540713e+00      -3.707606074625e-01       1.909128492772e-02       1.961365963826e-02      -1.229832992979e-01       9.397984171102e-02       5.975501048425e-02      -1.405459424261e+01       4.692287961651e-01 
       1.669452924722e+01       3.712033012773e-05      -3.089994502182e+00      -7.634432895130e-01      -8.256281849252e-04      -2.064070462313e-03      -1.276918604454e-06      -4.128140924626e-04      -2.317576144899e+00      -7.633819929397e-01       1.752257426447e-02       1.807147157554e-02      -1.783860451405e-01       5.179002113193e-02       6.743897826818e-02      -1.429248782908e+01       4.638084738803e-01 
       1.719452924722e+01       3.826604751023e-05      -2.474988939952e+00      -1.095481326407e+00      -1.269722540261e-03      -3.174306350653e-03      -2.086849292778e-06      -6.348612701307e-04      -1.856351557568e+00      -1.095425340548e+00       1.539714763852e-02       1.587444080525e-02      -2.054268885922e-01       2.592805312742e-03       6.304654234710e-02      -1.452956241535e+01       4.580442247663e-01 
       1.769452924722e+01       3.941374029164e-05      -1.667950677853e+00      -1.340796220017e+00      -1.652164752623e-03      -4.130411881559e-03      -2.880737580604e-06      -8.260823763117e-04      -1.251098173654e+00      -1.340752058226e+00       1.292496844208e-02       1.325282084164e-02      -2.016977657377e-01      -4.402535186620e-02       4.699780293646e-02      -1.476488917496e+01       4.516906979562e-01 
       1.819452924722e+01       4.056340847196e-05      -7.325825563964e-01      -1.480118155212e+00      -1.935948936063e-03      -4.839872340158e-03      -3.575343921322e-06      -9.679744680315e-04      -5.495898470391e-01      -1.480092302460e+00       1.031258182183e-02       1.044818234713e-02      -1.709619922505e-01      -7.935086633275e-02       2.234608472323e-02      -1.499741082886e+01       4.446142530696e-01 
       1.869452924722e+01       4.171505205119e-05       2.572635358849e-01      -1.502575506049e+00      -2.085060943034e-03      -5.212652357585e-03      -4.072483911777e-06      -1.042530471517e-03       1.927876002083e-01      -1.502573736125e+00       7.752385777349e-03       7.693442568702e-03      -1.220002495826e-01      -9.741335481687e-02      -5.964220878142e-03      -1.522605554248e+01       4.367847153908e-01 
       1.919452924722e+01       4.286867102933e-05       1.223438809302e+00      -1.406552990281e+00      -2.066724064021e-03      -5.166810160052e-03      -4.263022069703e-06      -1.033362032010e-03       9.174251356186e-01      -1.406579650242e+00       5.413750337821e-03       5.194757516761e-03      -6.641506920629e-02      -9.616086127658e-02      -3.225618207112e-02      -1.544984003702e+01       4.282629974372e-01 
