#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:a                      2:tau [Mpc]              3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:eta_prime             14:h_prime               15:phi_prime             16:delta_ur              17:theta_ur              18:shear_ur              19:delta_cdm             20:theta_cdm             21:delta_ncdm[0]         22:theta_ncdm[0]         23:shear_ncdm[0]         24:cs2_ncdm[0]           25:w_p[0]                26:w_theta[0]            27:pi_ncdm[0]            28:k_fss_wdm[0]          29:w_trial_1             30:w_trial_2             31:delta_dcdm            32:theta_dcdm            33:delta_dr              34:theta_dr              35:shear_dr           
       1.889864946443e-04       7.681551859472e+01       5.606981358389e-01      -2.364334571535e-01      -3.929465910372e-03      -9.823664775931e-03      -1.663869257044e-05      -1.964732955186e-03       4.194391879894e-01      -2.364139375313e-01       1.187859753555e-01       1.059646664733e-01      -5.691575277005e-03       2.438305867413e-01      -3.383307511418e-03      -2.736385143441e-01      -1.484186898969e-01      -3.954931805940e-01      -8.166837498268e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -8.166837498268e+00       0.000000000000e+00      -5.280337300222e+00      -2.013004403649e-01      -2.231096045306e-01 
       2.029014737950e-04       8.181551859472e+01       1.304151742273e+00      -2.239982419791e-01      -4.198208775876e-03      -1.049552193969e-02      -2.051096946020e-05      -2.099104387938e-03       9.769826625282e-01      -2.240005566198e-01       1.008938898644e-01       9.132029429581e-02      -4.630611409246e-03       2.336450676789e-01      -2.496566824784e-03      -1.338990322484e-01      -1.324187014964e-01      -3.392497211584e-01      -8.763678165002e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -8.763678165002e+00       0.000000000000e+00      -5.329776532855e+00      -2.131103228060e-01      -2.861722781188e-01 
       2.052620349653e-04       8.265676227564e+01       1.423257431017e+00      -2.211339711076e-01      -4.214126102664e-03      -1.053531525666e-02      -2.107063051331e-05      -2.107063051332e-03       1.066315770591e+00      -2.211408304841e-01       9.831723818198e-02       8.927754338902e-02      -4.463841329148e-03       2.319429916201e-01      -2.360581170109e-03      -1.173590259753e-01      -1.298772690018e-01      -3.276092576330e-01      -8.861596147133e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -8.861596147133e+00       0.000000000000e+00      -5.334382332695e+00      -2.148596934097e-01      -2.965708412974e-01 
       2.052620349653e-04       8.265676227564e+01       1.423257431017e+00      -2.211339711076e-01      -4.214126102664e-03      -1.053531525666e-02      -2.107063051331e-05      -2.107063051332e-03       1.066315770591e+00      -2.211408304841e-01       9.831719401313e-02       8.927754338902e-02      -4.463841329148e-03       2.319429916201e-01      -2.360580565584e-03      -1.173590259753e-01      -1.298772690018e-01      -3.276092576330e-01      -8.861596147133e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -8.861596147133e+00       0.000000000000e+00      -5.334382332695e+00      -2.148596934097e-01      -2.965708412974e-01 
       2.054025126126e-04       8.270676227564e+01       1.430264051187e+00      -2.209570505577e-01      -4.214459373095e-03      -1.053530381595e-02      -2.107671208756e-05      -2.107089197504e-03       1.071571089139e+00      -2.209642787774e-01       9.816787591738e-02       8.915971346089e-02      -4.454040195631e-03       2.318420819103e-01      -2.352619871508e-03      -1.164352610299e-01      -1.297282532675e-01      -3.269016955646e-01      -8.867393460488e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -8.867393460488e+00       0.000000000000e+00      -5.334626213590e+00      -2.149615469560e-01      -2.971862019806e-01 
       2.055432023702e-04       8.275683073726e+01       1.437271791932e+00      -2.207791558648e-01      -4.214735316596e-03      -1.053543620432e-02      -2.109175987086e-05      -2.107132981457e-03       1.076827263653e+00      -2.207866649770e-01       9.801878000894e-02       8.904212066629e-02      -4.444238175695e-03       2.317410651896e-01      -2.344661951976e-03      -1.155168079952e-01      -1.295792731307e-01      -3.261914765058e-01      -8.873196184175e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -8.873196184175e+00       0.000000000000e+00      -5.334867138091e+00      -2.150633022954e-01      -2.978020903272e-01 
       2.056841047415e-04       8.280696781082e+01       1.444280588911e+00      -2.206002738629e-01      -4.214966454645e-03      -1.053566160583e-02      -2.111238594861e-05      -2.107188625810e-03       1.082084244904e+00      -2.206080636126e-01       9.786990773375e-02       8.892476560779e-02      -4.434435301072e-03       2.316399416666e-01      -2.336706848512e-03      -1.146036760925e-01      -1.294303307978e-01      -3.254786038345e-01      -8.879004326015e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -8.879004326015e+00       0.000000000000e+00      -5.335105104189e+00      -2.151649589032e-01      -2.984185048548e-01 
       2.058252202318e-04       8.285717364709e+01       1.451290377173e+00      -2.204204019314e-01      -4.215159722029e-03      -1.053594344819e-02      -2.113649271766e-05      -2.107251473641e-03       1.087341984264e+00      -2.204284735475e-01       9.772126034205e-02       8.880764890699e-02      -4.424631605512e-03       2.315387115253e-01      -2.328754602117e-03      -1.136958744277e-01      -1.292814284837e-01      -3.247630810126e-01      -8.884817893854e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -8.884817893854e+00       0.000000000000e+00      -5.335340109828e+00      -2.152665162512e-01      -2.990354440653e-01 
       2.059665493480e-04       8.290744839730e+01       1.458301091321e+00      -2.202395376259e-01      -4.215318761345e-03      -1.053625456671e-02      -2.116277778676e-05      -2.107317702255e-03       1.092600432787e+00      -2.202478923674e-01       9.757283894918e-02       8.869077118001e-02      -4.414827122259e-03       2.314373749589e-01      -2.320805251336e-03      -1.127934119901e-01      -1.291325684118e-01      -3.240449115870e-01      -8.890636895561e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -8.890636895561e+00       0.000000000000e+00      -5.335572153006e+00      -2.153679738111e-01      -2.996529064507e-01 
       2.061080925987e-04       8.295779221316e+01       1.465312665517e+00      -2.200576785006e-01      -4.215445282608e-03      -1.053657416531e-02      -2.119042927670e-05      -2.107384128064e-03       1.097859541197e+00      -2.200663176544e-01       9.742464458864e-02       8.857413303693e-02      -4.405021884009e-03       2.313359321709e-01      -2.312858832929e-03      -1.118962976511e-01      -1.289837528138e-01      -3.233240991895e-01      -8.896461339031e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -8.896461339031e+00       0.000000000000e+00      -5.335801231775e+00      -2.154693310551e-01      -3.002708904929e-01 
       2.062498504939e-04       8.300820524682e+01       1.472325033475e+00      -2.198748220986e-01      -4.215539879022e-03      -1.053688588024e-02      -2.121893826266e-05      -2.107448069411e-03       1.103119259885e+00      -2.198837470684e-01       9.727667824427e-02       8.845773508180e-02      -4.395215922909e-03       2.312343833748e-01      -2.304915382327e-03      -1.110045401636e-01      -1.288349839300e-01      -3.226006475376e-01      -8.902291232182e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -8.902291232182e+00       0.000000000000e+00      -5.336027344240e+00      -2.155705874558e-01      -3.008893946638e-01 
       2.063918235456e-04       8.305868765090e+01       1.479338128463e+00      -2.196909659781e-01      -4.215602514151e-03      -1.053717652583e-02      -2.124798327444e-05      -2.107507247256e-03       1.108379538905e+00      -2.197001781595e-01       9.712894086939e-02       8.834157791267e-02      -4.385409270557e-03       2.311327287947e-01      -2.296974933885e-03      -1.101181481611e-01      -1.286862640087e-01      -3.218745604350e-01      -8.908126582958e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -8.908126582958e+00       0.000000000000e+00      -5.336250488562e+00      -2.156717424861e-01      -3.015084174249e-01 
       2.065340122673e-04       8.310923957851e+01       1.486351883296e+00      -2.195061076850e-01      -4.215632811016e-03      -1.053743526508e-02      -2.127735913154e-05      -2.107559711124e-03       1.113640327974e+00      -2.195156085707e-01       9.698143339816e-02       8.822566212152e-02      -4.375601957997e-03       2.310309686652e-01      -2.289037521038e-03      -1.092371301564e-01      -1.285375953068e-01      -3.211458417720e-01      -8.913967399329e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -8.913967399329e+00       0.000000000000e+00      -5.336470662953e+00      -2.157727956192e-01      -3.021279572274e-01 
