# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)n_ncdm[0]          13:(.)rho_ncdm[0]        14:(.)p_ncdm[0]          15:(.)n_ncdm[1]          16:(.)rho_ncdm[1]        17:(.)p_ncdm[1]          18:(.)rho_lambda         19:(.)rho_ur             20:(.)rho_crit           21:(.)rho_dcdm           22:(.)rho_dr             23:gr.fac. D             24:gr.fac. f          
       1.611027111918e+08       2.912240939550e-14       2.876967748307e-03       5.599767712570e+10       1.446883306686e+04       8.981123203960e-05       2.330968249321e+12       1.661016381430e-03       1.853490991274e+21       1.024993409004e+16       4.652293976963e+14       8.400686442008e+11       4.264970447208e+20       1.421656815735e+20       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       8.556896115199e+20       3.135739843475e+21       5.148079623449e+16       1.817750874830e-01       1.303098637653e-04       1.145247583836e-01 
       1.599828313266e+08       2.953154877260e-14       2.897106422097e-03       5.522186894922e+10       1.446883304672e+04       9.043991055982e-05       2.314764891276e+12       1.672643426304e-03       1.802488891448e+21       1.003766415580e+16       4.555947783135e+14       8.226713307844e+11       4.147612202940e+20       1.382537400979e+20       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       8.321437905840e+20       3.049454810245e+21       5.041466008811e+16       1.805114974924e-01       1.304139658661e-04       1.144335399750e-01 
       1.588707361278e+08       2.994643612021e-14       2.917386065747e-03       5.445680907212e+10       1.446883302644e+04       9.107298982822e-05       2.298674168291e+12       1.684351859513e-03       1.752890205060e+21       9.829790203437e+15       4.461596860674e+14       8.056343052001e+11       4.033483279378e+20       1.344494426458e+20       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       8.092458747663e+20       2.965544054317e+21       4.937060297611e+16       1.792566911463e-01       1.305180681498e-04       1.143424684868e-01 
       1.577663714816e+08       3.036715219097e-14       2.937807665148e-03       5.370234858377e+10       1.446883300602e+04       9.171050065002e-05       2.282695297402e+12       1.696142250759e-03       1.704656314695e+21       9.626221194821e+15       4.369199888717e+14       7.889501061051e+11       3.922494816025e+20       1.307498272008e+20       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       7.869780358058e+20       2.883942243413e+21       4.834816765505e+16       1.780106073864e-01       1.306221706178e-04       1.142515435790e-01 
       1.566696836502e+08       3.079377887197e-14       2.958372215289e-03       5.295834063660e+10       1.446883298546e+04       9.235247404606e-05       2.266827501088e+12       1.708015173736e-03       1.657749665565e+21       9.426867977177e+15       4.278716402132e+14       7.726114266763e+11       3.814560397536e+20       1.271520132511e+20       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       7.653229360179e+20       2.804585842982e+21       4.734690635073e+16       1.767731855793e-01       1.307262732715e-04       1.141607649127e-01 
       1.555806192694e+08       3.122639920077e-14       2.979080714795e-03       5.222464041754e+10       1.446883296475e+04       9.299894125435e-05       2.251070007230e+12       1.719971206152e-03       1.612133736268e+21       9.231643244025e+15       4.190106773795e+14       7.566111114106e+11       3.709595986438e+20       1.236531995478e+20       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       7.442637147952e+20       2.727413066741e+21       4.636638056207e+16       1.755443655125e-01       1.308303761125e-04       1.140701321502e-01 
       1.544991253461e+08       3.166509738146e-14       2.999934173204e-03       5.150110511977e+10       1.446883294390e+04       9.364993373155e-05       2.235422049080e+12       1.732010929757e-03       1.567773010353e+21       9.040461496951e+15       4.103332197236e+14       7.409421529910e+11       3.607519857698e+20       1.202506619232e+20       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       7.237839754797e+20       2.652363828558e+21       4.540616086910e+16       1.743240873927e-01       1.309344791423e-04       1.139796449551e-01 
       1.534251492555e+08       3.210995880114e-14       3.020933603693e-03       5.078759391501e+10       1.446883292290e+04       9.430548315453e-05       2.219882865217e+12       1.744134930376e-03       1.524632948668e+21       8.853239008161e+15       4.018354669645e+14       7.255976892178e+11       3.508252535094e+20       1.169417511697e+20       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       7.038677725969e+20       2.579379695676e+21       4.446582674488e+16       1.731122918416e-01       1.310385823621e-04       1.138893029920e-01 
       1.523586387384e+08       3.256107004648e-14       3.042080028536e-03       5.008396792603e+10       1.446883290175e+04       9.496562142188e-05       2.204451699513e+12       1.756343797934e-03       1.482679962468e+21       8.669893783812e+15       3.935136975223e+14       7.105710000034e+11       3.411716729332e+20       1.137238909776e+20       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       6.844995994401e+20       2.508403843215e+21       4.354496637130e+16       1.719089198943e-01       1.311426857737e-04       1.137991059267e-01 
       1.512995418992e+08       3.301851892058e-14       3.063374477279e-03       4.939009019967e+10       1.446883288046e+04       9.563038065549e-05       2.189127801099e+12       1.768638126483e-03       1.441881387261e+21       8.490345528105e+15       3.853642668893e+14       6.958555044289e+11       3.317837277871e+20       1.105945759289e+20       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       6.656643759973e+20       2.439381009931e+21       4.264317645879e+16       1.707139129952e-01       1.312467893784e-04       1.137090534261e-01 
       1.502478072030e+08       3.348239446011e-14       3.084817984927e-03       4.870582568017e+10       1.446883285901e+04       9.629979320210e-05       2.173910424322e+12       1.781018514236e-03       1.402205457375e+21       8.314515608117e+15       3.773836060329e+14       6.814447578625e+11       3.226541086401e+20       1.075513695466e+20       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       6.473474372098e+20       2.372257455187e+21       4.176006206963e+16       1.695272129961e-01       1.313508931777e-04       1.136191451583e-01 
       1.492033834728e+08       3.395278695256e-14       3.106411597400e-03       4.803104118286e+10       1.446883283742e+04       9.697389163487e-05       2.158798828714e+12       1.793485563591e-03       1.363621281231e+21       8.142327019367e+15       3.695682198333e+14       6.673324491367e+11       3.137757071933e+20       1.045919023977e+20       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       6.295345215542e+20       2.306980917110e+21       4.089523644505e+16       1.683487621529e-01       1.314549971733e-04       1.135293807926e-01 
       1.481662198877e+08       3.442978795389e-14       3.128156360617e-03       4.736560536829e+10       1.446883281567e+04       9.765270875500e-05       2.143792278954e+12       1.806039881164e-03       1.326098817282e+21       7.973704352089e+15       3.619146855523e+14       6.535123977844e+11       3.051416107449e+20       1.017138702482e+20       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       6.122117599380e+20       2.243500571905e+21       4.004832083580e+16       1.671785031229e-01       1.315591013666e-04       1.134397599992e-01 
       1.471362659800e+08       3.491349030627e-14       3.150053338686e-03       4.670938871661e+10       1.446883279378e+04       9.833627759326e-05       2.128890044834e+12       1.818682077818e-03       1.289608850631e+21       7.808573758208e+15       3.544196513348e+14       6.399785513324e+11       2.967450968088e+20       9.891503226953e+19       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       5.953656649016e+20       2.181766994279e+21       3.921894433630e+16       1.660163789620e-01       1.316632057592e-04       1.133502824499e-01 
       1.461134716327e+08       3.540398815623e-14       3.172103592078e-03       4.606226350238e+10       1.446883277173e+04       9.902463141166e-05       2.114091401218e+12       1.831412768688e-03       1.254122970279e+21       7.646862918997e+15       3.470798347402e+14       6.267249826504e+11       2.885796278799e+20       9.619320929322e+19       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       5.789831201169e+20       2.121732118962e+21       3.840674372221e+16       1.648623331221e-01       1.317673103527e-04       1.132609478170e-01 
       1.450977870772e+08       3.590137697295e-14       3.194308195816e-03       4.542410376972e+10       1.446883274952e+04       9.971780370504e-05       2.099395628015e+12       1.844232573219e-03       1.219613547008e+21       7.488501013407e+15       3.398920213057e+14       6.137458873555e+11       2.806388463440e+20       9.354628211460e+19       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       5.630513701747e+20       2.063349203283e+21       3.761136329134e+16       1.637163094478e-01       1.318714151485e-04       1.131717557745e-01 
