# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_dcdm           16:gr.fac. D             17:gr.fac. f          
       1.775173212030e+09       2.398901326626e-16       2.611303261801e-04       6.798038718852e+12       1.414490164483e+04       7.968181099737e-06       2.510965050084e+13       1.507636496961e-04       2.732385772955e+25       1.380518858133e+19       6.224160767054e+16       3.510489637255e-08       1.888938382490e+25       4.621333042301e+25       7.500113724217e+19       8.799720740462e-05       1.578836649947e-01 
       1.762833378333e+09       2.432603480563e-16       2.629582377267e-04       6.703856287308e+12       1.414490164300e+04       8.023958366585e-06       2.493510476367e+13       1.518189946360e-04       2.657199322997e+25       1.351929148618e+19       6.095262166899e+16       3.510489637255e-08       1.836960886276e+25       4.494168912088e+25       7.344790911031e+19       8.809412185591e-05       1.577099925161e-01 
       1.750579323024e+09       2.466779115831e-16       2.647989440447e-04       6.610978692774e+12       1.414490164116e+04       8.080126074290e-06       2.476177235336e+13       1.528817269819e-04       2.584081761813e+25       1.323931514673e+19       5.969032978689e+16       3.510489637255e-08       1.786413643232e+25       4.370503927631e+25       7.192684739241e+19       8.819103631900e-05       1.575367018751e-01 
       1.738410449826e+09       2.501434884367e-16       2.666525360837e-04       6.519387857569e+12       1.414490163930e+04       8.136686955937e-06       2.458964483568e+13       1.539518984455e-04       2.512976160253e+25       1.296513694772e+19       5.845417920521e+16       3.510489637255e-08       1.737257297402e+25       4.250241803742e+25       7.043728594149e+19       8.828795079398e-05       1.573637918153e-01 
       1.726326166612e+09       2.536577531556e-16       2.685191029741e-04       6.429065954470e+12       1.414490163744e+04       8.193643763743e-06       2.441871383500e+13       1.550295611006e-04       2.443827155672e+25       1.269663681315e+19       5.724362855344e+16       3.510489637255e-08       1.689453575776e+25       4.133288904693e+25       6.897857240612e+19       8.838486528096e-05       1.571912610860e-01 
       1.714325885366e+09       2.572213897552e-16       2.703987356654e-04       6.339995403236e+12       1.414490163556e+04       8.250999269192e-06       2.424897103393e+13       1.561147673854e-04       2.376580908827e+25       1.243369715377e+19       5.605814767253e+16       3.510489637255e-08       1.642965258497e+25       4.019554171306e+25       6.755006794464e+19       8.848177978003e-05       1.570191084419e-01 
       1.702409022162e+09       2.608350918606e-16       2.722915251070e-04       6.252158867190e+12       1.414490163367e+04       8.308756263165e-06       2.408040817289e+13       1.572075701051e-04       2.311185061959e+25       1.217620281549e+19       5.489721738272e+16       3.510489637255e-08       1.597756149875e+25       3.908949050058e+25       6.615114694544e+19       8.857869429128e-05       1.568473326431e-01 
       1.690574997133e+09       2.644995628415e-16       2.741975658864e-04       6.165539249843e+12       1.414490163176e+04       8.366917556084e-06       2.391301704971e+13       1.583080224347e-04       2.247588698023e+25       1.192404102901e+19       5.376032925613e+16       3.510489637255e-08       1.553791050213e+25       3.801387424135e+25       6.478119675291e+19       8.867560881483e-05       1.566759324552e-01 
       1.678823234444e+09       2.682155159494e-16       2.761169471341e-04       6.080119691567e+12       1.414490162984e+04       8.425485978040e-06       2.374678951924e+13       1.594161779213e-04       2.185742301050e+25       1.167710136042e+19       5.264698539412e+16       3.510489637255e-08       1.511035728392e+25       3.696785546378e+25       6.343961739921e+19       8.877252335076e-05       1.565049066494e-01 
       1.667153162259e+09       2.719836744560e-16       2.780497652566e-04       5.995883566314e+12       1.414490162791e+04       8.484464378937e-06       2.358171749296e+13       1.605320904870e-04       2.125597717589e+25       1.143527566281e+19       5.155669820924e+16       3.510489637255e-08       1.469456895226e+25       3.595061974080e+25       6.212582134143e+19       8.886943789918e-05       1.563342540018e-01 
       1.655564212722e+09       2.758047717944e-16       2.799961130222e-04       5.912814478379e+12       1.414490162596e+04       8.543855628627e-06       2.341779293856e+13       1.616558144310e-04       2.067108119216e+25       1.119845802895e+19       5.048899021166e+16       3.510489637255e-08       1.429022177539e+25       3.496137505573e+25       6.083923320436e+19       8.896635246020e-05       1.561639732942e-01 
